trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
437,False,"{'a': 0.995, 'e': 3.3558886369086958}",20,0,-79.76747948412232,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
438,False,"{'a': 0.995, 'e': 3.3391091937241524}",25,0,-111.54092172597277,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
439,False,"{'a': 0.995, 'e': 3.3224136477555315}",25,0,-112.5714809860734,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
440,False,"{'a': 0.995, 'e': 3.305801579516754}",25,0,-102.38856456833068,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
441,False,"{'a': 0.995, 'e': 3.28927257161917}",20,0,-43.80970470075336,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
442,False,"{'a': 0.995, 'e': 3.2728262087610744}",20,0,-69.25723200633541,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
443,False,"{'a': 0.995, 'e': 3.256462077717269}",35,0,-233.93184307133635,"{0: 18, 1: 7, 2: 4, 3: 3, 4: 3}",0
444,False,"{'a': 0.995, 'e': 3.2401797673286827}",20,0,-99.95151486001446,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
445,False,"{'a': 0.995, 'e': 3.2239788684920394}",20,12,6.474074495623352,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.995, 'e': 3.207858974149579}",30,0,-215.66978976572855,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",0
447,False,"{'a': 0.995, 'e': 3.191819679278831}",30,0,-164.01606039687786,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
448,False,"{'a': 0.995, 'e': 3.175860580882437}",20,10,0.22537386636366152,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
449,False,"{'a': 0.995, 'e': 3.1599812779780247}",25,0,-131.42295058611325,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
450,False,"{'a': 0.995, 'e': 3.1441813715881346}",20,0,-140.93582017248082,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
451,False,"{'a': 0.995, 'e': 3.128460464730194}",20,0,-122.39352847721618,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
452,False,"{'a': 0.995, 'e': 3.1128181624065427}",20,0,-37.99219605106135,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
